citizenship,citizenshipLabel,n
"<http://www.wikidata.org/entity/Q45670>","Kingdom of Portugal",16
"<http://www.wikidata.org/entity/Q2305208>","Russian Socialist Federative Soviet Republic",16
"<http://www.wikidata.org/entity/Q928>","Philippines",14
"<http://www.wikidata.org/entity/Q298>","Chile",14
"<http://www.wikidata.org/entity/Q191077>","Kingdom of Yugoslavia",14
"<http://www.wikidata.org/entity/Q83286>","Socialist Federal Republic of Yugoslavia",13
"<http://www.wikidata.org/entity/Q215>","Slovenia",12
"<http://www.wikidata.org/entity/Q16957>","German Democratic Republic",12
"<http://www.wikidata.org/entity/Q211>","Latvia",11
"<http://www.wikidata.org/entity/Q419>","Peru",10
"<http://www.wikidata.org/entity/Q15102440>","Kingdom of Serbs, Croats and Slovenes",9
"<http://www.wikidata.org/entity/Q214>","Slovakia",9
"<http://www.wikidata.org/entity/Q62633>","Grand Principality of Finland",9
"<http://www.wikidata.org/entity/Q241>","Cuba",9
"<http://www.wikidata.org/entity/Q21>","England",9
"<http://www.wikidata.org/entity/Q865>","Taiwan",9
"<http://www.wikidata.org/entity/Q41>","Greece",8
"<http://www.wikidata.org/entity/Q869>","Thailand",8
"<http://www.wikidata.org/entity/Q153015>","Kingdom of Saxony",8
"<http://www.wikidata.org/entity/Q243610>","Ukrainian People's Republic",8
"<http://www.wikidata.org/entity/Q230>","Georgia",8
"<http://www.wikidata.org/entity/Q800>","Costa Rica",8
"<http://www.wikidata.org/entity/Q139319>","Russian Republic",8
"<http://www.wikidata.org/entity/Q154195>","Kingdom of Bavaria",8
"<http://www.wikidata.org/entity/Q399>","Armenia",7
"<http://www.wikidata.org/entity/Q23366230>","Republic of Geneva",7
"<http://www.wikidata.org/entity/Q843>","Pakistan",7
"<http://www.wikidata.org/entity/Q217>","Moldova",6
"<http://www.wikidata.org/entity/Q13426199>","Republic of China",6
"<http://www.wikidata.org/entity/Q25>","Wales",6
"<http://www.wikidata.org/entity/Q833>","Malaysia",6
"<http://www.wikidata.org/entity/Q37>","Lithuania",6
"<http://www.wikidata.org/entity/Q252>","Indonesia",6
"<http://www.wikidata.org/entity/Q1036>","Uganda",5
"<http://www.wikidata.org/entity/Q884>","South Korea",5
"<http://www.wikidata.org/entity/Q733>","Paraguay",5
"<http://www.wikidata.org/entity/Q232>","Kazakhstan",5
"<http://www.wikidata.org/entity/Q2184>","Russian Soviet Federative Socialist Republic",5
"<http://www.wikidata.org/entity/Q77>","Uruguay",5
"<http://www.wikidata.org/entity/Q207272>","Second Polish Republic",5
"<http://www.wikidata.org/entity/Q794>","Iran",5
"<http://www.wikidata.org/entity/Q717>","Venezuela",5
"<http://www.wikidata.org/entity/Q224>","Croatia",4
"<http://www.wikidata.org/entity/Q1027>","Mauritius",4
"<http://www.wikidata.org/entity/Q8733>","Qing dynasty",4
"<http://www.wikidata.org/entity/Q115>","Ethiopia",4
"<http://www.wikidata.org/entity/Q804>","Panama",4
"<http://www.wikidata.org/entity/Q159631>","Kingdom of Württemberg",4
"<http://www.wikidata.org/entity/Q227>","Azerbaijan",4
"<http://www.wikidata.org/entity/Q403>","Serbia",4
"<http://www.wikidata.org/entity/Q171150>","Kingdom of Hungary",4
"<http://www.wikidata.org/entity/Q79>","Egypt",4
"<http://www.wikidata.org/entity/Q172107>","Polish–Lithuanian Commonwealth",4
"<http://www.wikidata.org/entity/Q736>","Ecuador",4
"<http://www.wikidata.org/entity/Q1508143>","Ukrainian State",4
"<http://www.wikidata.org/entity/Q41304>","Weimar Republic",3
"<http://www.wikidata.org/entity/Q796>","Iraq",3
"<http://www.wikidata.org/entity/Q57695350>","Ireland",3
"<http://www.wikidata.org/entity/Q117>","Ghana",3
"<http://www.wikidata.org/entity/Q245160>","Democratic Republic of Georgia",3
"<http://www.wikidata.org/entity/Q786>","Dominican Republic",3
"<http://www.wikidata.org/entity/Q211274>","Polish People's Republic",3
"<http://www.wikidata.org/entity/Q151624>","German Confederation",3
"<http://www.wikidata.org/entity/Q12548>","Holy Roman Empire",3
"<http://www.wikidata.org/entity/Q881>","Vietnam",3
"<http://www.wikidata.org/entity/Q750>","Bolivia",3
"<http://www.wikidata.org/entity/Q854>","Sri Lanka",3
"<http://www.wikidata.org/entity/Q189>","Iceland",3
"<http://www.wikidata.org/entity/Q184>","Belarus",3
"<http://www.wikidata.org/entity/Q12560>","Ottoman Empire",3
"<http://www.wikidata.org/entity/Q2577303>","Kingdom of Sardinia",3
"<http://www.wikidata.org/entity/Q215530>","Kingdom of Ireland",3
"<http://www.wikidata.org/entity/Q133356>","Ukrainian Soviet Socialist Republic",2
"<http://www.wikidata.org/entity/Q7318>","Nazi Germany",2
"<http://www.wikidata.org/entity/Q38872>","Prussia",2
"<http://www.wikidata.org/entity/Q6744657>","Crown Colony of Malta",2
"<http://www.wikidata.org/entity/Q792>","El Salvador",2
"<http://www.wikidata.org/entity/Q965>","Burkina Faso",2
"<http://www.wikidata.org/entity/Q822>","Lebanon",2
"<http://www.wikidata.org/entity/Q811>","Nicaragua",2
"<http://www.wikidata.org/entity/Q1049>","Sudan",2
"<http://www.wikidata.org/entity/Q457167>","West Ukrainian People's Republic",2
"<http://www.wikidata.org/entity/Q114>","Kenya",2
"<http://www.wikidata.org/entity/Q42585>","Kingdom of Bohemia",2
"<http://www.wikidata.org/entity/Q916>","Angola",2
"<http://www.wikidata.org/entity/Q22>","Scotland",2
"<http://www.wikidata.org/entity/Q529605>","Electorate of Hesse",2
"<http://www.wikidata.org/entity/Q164079>","Kingdom of Hanover",2
"<http://www.wikidata.org/entity/Q1008>","Ivory Coast",2
"<http://www.wikidata.org/entity/Q954>","Zimbabwe",2
"<http://www.wikidata.org/entity/Q774>","Guatemala",2
"<http://www.wikidata.org/entity/Q221457>","Congress Poland",2
"<http://www.wikidata.org/entity/Q691>","Papua New Guinea",2
"<http://www.wikidata.org/entity/Q223936>","Kingdom of Italy",1
"<http://www.wikidata.org/entity/Q1643555>","British Honduras",1
"<http://www.wikidata.org/entity/Q186320>","Grand Duchy of Baden",1
"<http://www.wikidata.org/entity/Q10957559>","Principality of Moldavia",1
"<http://www.wikidata.org/entity/Q140359>","First Czechoslovak Republic",1
"<http://www.wikidata.org/entity/Q1028>","Morocco",1
"<http://www.wikidata.org/entity/Q805>","Yemen",1
"<http://www.wikidata.org/entity/Q1055>","Hamburg",1
"<http://www.wikidata.org/entity/Q158151>","Saxe-Altenburg",1
"<http://www.wikidata.org/entity/Q236>","Montenegro",1
"<http://www.wikidata.org/entity/Q713750>","West Germany",1
"<http://www.wikidata.org/entity/Q229>","Cyprus",1
"<http://www.wikidata.org/entity/Q1009>","Cameroon",1
"<http://www.wikidata.org/entity/Q426025>","Duchy of Savoy",1
"<http://www.wikidata.org/entity/Q193619>","Union of South Africa",1
"<http://www.wikidata.org/entity/Q31747>","Irish Free State",1
"<http://www.wikidata.org/entity/Q546>","Trieste",1
"<http://www.wikidata.org/entity/Q265>","Uzbekistan",1
"<http://www.wikidata.org/entity/Q1039>","São Tomé and Príncipe",1
"<http://www.wikidata.org/entity/Q170174>","Papal States",1
"<http://www.wikidata.org/entity/Q902>","Bangladesh",1
"<http://www.wikidata.org/entity/Q4948>","Republic of Venice",1
"<http://www.wikidata.org/entity/Q5148518>","Colony of New Zealand",1
"<http://www.wikidata.org/entity/Q282475>","Kingdom of Kartli-Kakheti",1
"<http://www.wikidata.org/entity/Q252580>","Duchy of Modena and Reggio",1
"<http://www.wikidata.org/entity/Q20135>","Grand Duchy of Hesse",1
"<http://www.wikidata.org/entity/Q1290149>","Federal People's Republic of Yugoslavia",1
"<http://www.wikidata.org/entity/Q24879>","Bremen",1
"<http://www.wikidata.org/entity/Q1020>","Malawi",1
"<http://www.wikidata.org/entity/Q188161>","Dutch East Indies",1
"<http://www.wikidata.org/entity/Q1019>","Madagascar",1
"<http://www.wikidata.org/entity/Q1033>","Nigeria",1
"<http://www.wikidata.org/entity/Q203493>","Kingdom of Romania",1
"<http://www.wikidata.org/entity/Q23148>","Cornwall",1
"<http://www.wikidata.org/entity/Q550374>","South African Republic",1
"<http://www.wikidata.org/entity/Q153128>","Independent State of Croatia",1
"<http://www.wikidata.org/entity/Q962>","Benin",1
"<http://www.wikidata.org/entity/Q2841>","Bogotá",1
"<http://www.wikidata.org/entity/Q170072>","Dutch Republic",1
"<http://www.wikidata.org/entity/Q2010024>","Second Czechoslovak Republic",1
"<http://www.wikidata.org/entity/Q8680>","British Empire",1
"<http://www.wikidata.org/entity/Q945>","Togo",1
"<http://www.wikidata.org/entity/Q158445>","Grand Duchy of Mecklenburg-Schwerin",1
"<http://www.wikidata.org/entity/Q810>","Jordan",1
"<http://www.wikidata.org/entity/Q165154>","Kingdom of Sardinia",1
"<http://www.wikidata.org/entity/Q221>","North Macedonia",1
"<http://www.wikidata.org/entity/Q25395037>","Kingdom of Hungary",1
"<http://www.wikidata.org/entity/Q424>","Cambodia",1
"<http://www.wikidata.org/entity/Q70972>","Kingdom of France",1
"<http://www.wikidata.org/entity/Q675085>","Saxe-Gotha-Altenburg",1
"<http://www.wikidata.org/entity/Q15864>","United Kingdom of the Netherlands",1
"<http://www.wikidata.org/entity/Q1277557>","Democratic Federal Yugoslavia",1
"<http://www.wikidata.org/entity/Q193714>","Mandatory Palestine",1
"<http://www.wikidata.org/entity/Q153136>","Habsburg monarchy",1
"<http://www.wikidata.org/entity/Q152115>","Duchy of Warsaw",1
"<http://www.wikidata.org/entity/Q639100>","Principality of Reuss-Gera",1
"<http://www.wikidata.org/entity/Q819>","Laos",1
"<http://www.wikidata.org/entity/Q2895>","Byelorussian Soviet Socialist Republic",1
"<http://www.wikidata.org/entity/Q225>","Bosnia and Herzegovina",1
"<http://www.wikidata.org/entity/Q693669>","Grand Duchy of Oldenburg",1
"<http://www.wikidata.org/entity/Q206411>","Azerbaijan Democratic Republic",1
"<http://www.wikidata.org/.well-known/genid/5640f2c2061751395a7d2f735a462d44>","http://www.wikidata.org/.well-known/genid/5640f2c2061751395a7d2f735a462d44",1
"<http://www.wikidata.org/entity/Q963>","Botswana",1
"<http://www.wikidata.org/entity/Q545205>","Transcaucasian Socialist Federative Soviet Republic",1
"<http://www.wikidata.org/entity/Q26167>","Duchy of Schleswig",1
"<http://www.wikidata.org/entity/Q180393>","Kingdom of the Two Sicilies",1
"<http://www.wikidata.org/entity/Q484578>","Uzbek Soviet Socialist Republic",1
"<http://www.wikidata.org/entity/Q1072140>","Roman Republic",1
"<http://www.wikidata.org/entity/Q711>","Mongolia",1
